deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
109,0.728820729772607,0.8328840970350404,0.7143318430203676,0.837844442391303,0.5737704918032787,0.4929577464788732,0.8838709677419355,0.5468227363688342,0.3577981651376147,0.0458715596330275,,,,yeast,lr,31,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.7102855631940772,0.8679245283018868,0.7324453602178231,0.8602268482971104,0.4754098360655737,0.6304347826086957,0.9451612903225808,0.5474503619207909,,,0.0,109.0,,yeast,lr,31,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7171073506081438,0.7142857142857143,0.6300887952441869,0.7485353084720983,0.7213114754098361,0.3308270676691729,0.7129032258064516,0.5485876062638857,,,0.0,109.0,,yeast,lr,31,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.6183765203595981,0.8463611859838275,0.6430343849698689,0.8238500044429965,0.2786885245901639,0.5666666666666667,0.9580645161290322,0.4679298052394848,,,0.0,0.0,,yeast,lr,37,symmetric,0.2,0.2,0.1,0.15,no_cleaning
109,0.7636171337916446,0.8140161725067385,0.7159359499317555,0.8279633601206123,0.6885245901639344,0.4565217391304347,0.8387096774193549,0.4682024224872389,0.4036697247706422,0.0458715596330275,,,,yeast,lr,37,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6959016393442623,0.8328840970350404,0.6959016393442623,0.8328840970350404,0.4918032786885246,0.4918032786885246,0.9,0.4777340342948897,,,0.0,109.0,,yeast,lr,37,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7524325753569541,0.6522911051212938,0.6018949067103654,0.6969604628037075,0.9016393442622952,0.3089887640449438,0.603225806451613,0.4699514568927923,,,0.0,109.0,,yeast,lr,37,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5837123215230037,0.8544474393530997,0.6041963015647227,0.8154252280369461,0.180327868852459,0.7333333333333333,0.9870967741935484,0.568004043623388,,,0.0,0.0,,yeast,lr,41,symmetric,0.2,0.2,0.1,0.15,no_cleaning
109,0.7715494447382337,0.8382749326145552,0.7387323943661972,0.8469686040772939,0.6721311475409836,0.5061728395061729,0.8709677419354839,0.559562862490678,0.4495412844036697,0.018348623853211,,,,yeast,lr,41,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6709148598625065,0.8571428571428571,0.696282108710091,0.8446314655980864,0.3934426229508196,0.6,0.9483870967741936,0.576270478853737,,,0.0,109.0,,yeast,lr,41,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7373876255949233,0.6711590296495957,0.6099179536679536,0.7136528374735922,0.8360655737704918,0.3128834355828221,0.6387096774193548,0.5633985952910502,,,0.0,109.0,,yeast,lr,41,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5886832363828662,0.8517520215633423,0.6104206044637913,0.8162134909630661,0.1967213114754098,0.6666666666666666,0.9806451612903224,0.5109306727719808,,,0.0,0.0,,yeast,lr,43,symmetric,0.2,0.2,0.1,0.15,no_cleaning
109,0.7597303014278161,0.862533692722372,0.7546709886547811,0.8638490915524646,0.6065573770491803,0.578125,0.9129032258064516,0.5225371161612176,0.4862385321100917,0.0,,,,yeast,lr,43,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.62818614489688,0.8517520215633423,0.6555594942691717,0.8300307060414878,0.2950819672131147,0.6,0.9612903225806452,0.5114948815258068,,,0.0,109.0,,yeast,lr,43,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7435748281332628,0.7035040431266847,0.6325806683952752,0.7409237377702504,0.8032786885245902,0.3333333333333333,0.6838709677419355,0.502372420870385,,,0.0,109.0,,yeast,lr,43,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5902961396086727,0.8544474393530997,0.6131835032437443,0.8182166776165413,0.1967213114754098,0.7058823529411765,0.9838709677419356,0.5247397058742354,,,0.0,0.0,,yeast,lr,47,symmetric,0.2,0.2,0.1,0.15,no_cleaning
