deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.6552380952380952,0.672,0.6386009449263099,0.6825470700232706,0.6133333333333333,0.46464646464646464,0.6971428571428572,,,0.0,62.0,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5904761904761905,0.704,0.5942982456140351,0.6786842105263158,0.30666666666666664,0.5111111111111111,0.8742857142857143,,,0.0,62.0,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.5980952380952381,0.688,0.6023978468314166,0.6761928064595057,0.37333333333333335,0.4745762711864407,0.8228571428571428,,,0.0,62.0,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5247619047619048,0.708,0.472710987836237,0.6136026118863944,0.06666666666666667,0.625,0.9828571428571429,,,0.0,0.0,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5971428571428572,0.708,0.6020410388364335,0.6841797684205935,0.32,0.5217391304347826,0.8742857142857143,0.24193548387096775,0.06451612903225806,,,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6123809523809525,0.628,0.5953636506030386,0.6413303398945334,0.5733333333333334,0.41346153846153844,0.6514285714285715,,,0.0,62.0,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5800000000000001,0.716,0.5778935102613493,0.6744714751135525,0.24,0.5625,0.92,,,0.0,62.0,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6171428571428572,0.72,0.6246568291008923,0.7003260123541524,0.36,0.5510204081632653,0.8742857142857143,,,0.0,62.0,,credit-g,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5142857142857142,0.704,0.44940476190476186,0.5991666666666666,0.04,0.6,0.9885714285714285,,,0.0,0.0,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.6000000000000001,0.728,0.6037296037296037,0.6924941724941724,0.28,0.6,0.92,0.24193548387096775,0.04838709677419355,,,,credit-g,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
