budget,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
0.1,pima,lr,crcc_m,0.7037,0.0411,0.7142,0.0439,0.5194,0.0591,0.2636,0.0443,0.0182,0.019
0.1,pima,lr,crcc_p_l0,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,crcc_p_l025,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,crcc_p_l05,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,crcc_p_l10,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,global_top_loss,0.5664,0.0385,0.5284,0.0628,0.1552,0.0828,0.6273,0.0614,0.3682,0.0588
0.1,pima,lr,no_cleaning,0.5385,0.0203,0.4769,0.0352,0.0866,0.0386,0.0,0.0,0.0,0.0
0.1,pima,lr,oracle_deletion,0.5569,0.0249,0.5129,0.0401,0.1313,0.0488,1.0,0.0,0.0,0.0
0.1,pima,lr,random_deletion,0.537,0.0194,0.4744,0.0327,0.0836,0.0344,0.1273,0.0259,0.1136,0.0321
0.1,yeast,hgb,class_proportional,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,crcc_m,0.6949,0.0256,0.6982,0.0206,0.482,0.0551,0.2679,0.0271,0.0183,0.0065
0.1,yeast,hgb,crcc_p_l0,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,crcc_p_l025,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,crcc_p_l05,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,crcc_p_l10,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,global_top_loss,0.63,0.0383,0.6619,0.0447,0.282,0.0781,0.6624,0.0237,0.3156,0.0382
0.1,yeast,hgb,no_cleaning,0.6181,0.0268,0.6407,0.0313,0.282,0.0536,0.0,0.0,0.0,0.0
0.1,yeast,hgb,oracle_deletion,0.6764,0.0377,0.7085,0.0425,0.3902,0.0699,1.0,0.0,0.0,0.0
0.1,yeast,hgb,random_deletion,0.6351,0.0285,0.6594,0.0316,0.318,0.0563,0.145,0.0407,0.1028,0.0364
