deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,budget
31,0.5723809523809523,0.5659191509134038,0.21333333333333335,0.25806451612903225,0.06451612903225806,credit-g,lr,29,class_proportional,0.05
31,0.5466666666666666,0.5040261407398763,0.09333333333333334,1.0,0.0,credit-g,lr,29,oracle_deletion,0.05
31,0.5723809523809523,0.5659191509134038,0.21333333333333335,0.25806451612903225,0.06451612903225806,credit-g,lr,29,crcc_p_l0,0.05
31,0.5723809523809523,0.5659191509134038,0.21333333333333335,0.25806451612903225,0.06451612903225806,credit-g,lr,29,crcc_p_l025,0.05
31,0.5723809523809523,0.5659191509134038,0.21333333333333335,0.25806451612903225,0.06451612903225806,credit-g,lr,29,crcc_p_l05,0.05
31,0.5723809523809523,0.5659191509134038,0.21333333333333335,0.25806451612903225,0.06451612903225806,credit-g,lr,29,crcc_p_l10,0.05
31,0.5628571428571428,0.5536915213616689,0.2,0.1935483870967742,0.0,credit-g,lr,29,crcc_m,0.05
0,0.5142857142857142,0.44940476190476186,0.04,0.0,0.0,credit-g,lr,47,no_cleaning,0.05
31,0.5380952380952381,0.4968107725017718,0.09333333333333334,0.22580645161290322,0.06451612903225806,credit-g,lr,47,random_deletion,0.05
31,0.5447619047619048,0.5084821930120211,0.10666666666666667,0.7096774193548387,0.2903225806451613,credit-g,lr,47,global_top_loss,0.05
31,0.5571428571428572,0.5386614684860299,0.16,0.25806451612903225,0.03225806451612903,credit-g,lr,47,class_proportional,0.05
31,0.5038095238095238,0.42433453071750943,0.013333333333333334,1.0,0.0,credit-g,lr,47,oracle_deletion,0.05
31,0.5571428571428572,0.5386614684860299,0.16,0.25806451612903225,0.03225806451612903,credit-g,lr,47,crcc_p_l0,0.05
31,0.5571428571428572,0.5386614684860299,0.16,0.25806451612903225,0.03225806451612903,credit-g,lr,47,crcc_p_l025,0.05
31,0.5571428571428572,0.5386614684860299,0.16,0.25806451612903225,0.03225806451612903,credit-g,lr,47,crcc_p_l05,0.05
31,0.5571428571428572,0.5386614684860299,0.16,0.25806451612903225,0.03225806451612903,credit-g,lr,47,crcc_p_l10,0.05
31,0.5504761904761905,0.5283513258568284,0.14666666666666667,0.12903225806451613,0.03225806451612903,credit-g,lr,47,crcc_m,0.05
0,0.5171428571428571,0.45127634625214225,0.04,0.0,0.0,credit-g,lr,61,no_cleaning,0.05
31,0.5171428571428571,0.45127634625214225,0.04,0.0,0.0967741935483871,credit-g,lr,61,random_deletion,0.05
31,0.5495238095238095,0.52309304387544,0.13333333333333333,0.5806451612903226,0.41935483870967744,credit-g,lr,61,global_top_loss,0.05
31,0.6285714285714286,0.6375,0.28,0.3870967741935484,0.03225806451612903,credit-g,lr,61,class_proportional,0.05
31,0.5342857142857143,0.48715726214209354,0.08,1.0,0.0,credit-g,lr,61,oracle_deletion,0.05
31,0.6285714285714286,0.6375,0.28,0.3870967741935484,0.03225806451612903,credit-g,lr,61,crcc_p_l0,0.05
31,0.6285714285714286,0.6375,0.28,0.3870967741935484,0.03225806451612903,credit-g,lr,61,crcc_p_l025,0.05
31,0.6285714285714286,0.6375,0.28,0.3870967741935484,0.03225806451612903,credit-g,lr,61,crcc_p_l05,0.05
31,0.6285714285714286,0.6375,0.28,0.3870967741935484,0.03225806451612903,credit-g,lr,61,crcc_p_l10,0.05
31,0.6161904761904762,0.6215786992233058,0.26666666666666666,0.2903225806451613,0.03225806451612903,credit-g,lr,61,crcc_m,0.05
0,0.5428571428571429,0.5121951219512195,0.12,0.0,0.0,credit-g,lr,83,no_cleaning,0.05
31,0.5361904761904762,0.5010798545613604,0.10666666666666667,0.16129032258064516,0.0967741935483871,credit-g,lr,83,random_deletion,0.05
31,0.580952380952381,0.575,0.21333333333333335,0.5483870967741935,0.45161290322580644,credit-g,lr,83,global_top_loss,0.05
31,0.5971428571428572,0.600500243173765,0.28,0.25806451612903225,0.0967741935483871,credit-g,lr,83,class_proportional,0.05
31,0.5752380952380952,0.5604219948849105,0.17333333333333334,1.0,0.0,credit-g,lr,83,oracle_deletion,0.05
31,0.5971428571428572,0.600500243173765,0.28,0.25806451612903225,0.0967741935483871,credit-g,lr,83,crcc_p_l0,0.05
31,0.5971428571428572,0.600500243173765,0.28,0.25806451612903225,0.0967741935483871,credit-g,lr,83,crcc_p_l025,0.05
31,0.5971428571428572,0.600500243173765,0.28,0.25806451612903225,0.0967741935483871,credit-g,lr,83,crcc_p_l05,0.05
