noise_level,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
low,credit-g,lr,crcc_p_l10,0.6442,0.0233,0.6542,0.0258,0.4027,0.0528,0.1419,0.0265,0.0871,0.0088
low,credit-g,lr,global_top_loss,0.5693,0.0275,0.5539,0.0424,0.1787,0.0601,0.3258,0.0563,0.6548,0.0577
low,credit-g,lr,no_cleaning,0.5585,0.0156,0.5323,0.0274,0.1387,0.0396,0.0,0.0,0.0,0.0
low,credit-g,lr,oracle_deletion,0.5861,0.0119,0.5772,0.0182,0.1973,0.0256,1.0,0.0,0.0,0.0
low,credit-g,lr,random_deletion,0.5682,0.0175,0.5491,0.0295,0.1627,0.0446,0.0613,0.031,0.1065,0.0216
low,ecoli,hgb,class_proportional,0.8387,0.0462,0.8232,0.0359,0.7789,0.0942,0.2261,0.0778,0.0174,0.0238
low,ecoli,hgb,crcc_m,0.835,0.0541,0.8217,0.0446,0.7684,0.1091,0.1304,0.0922,0.0174,0.0238
low,ecoli,hgb,crcc_p_l0,0.8387,0.0462,0.8232,0.0359,0.7789,0.0942,0.2261,0.0778,0.0174,0.0238
low,ecoli,hgb,crcc_p_l025,0.8387,0.0462,0.8232,0.0359,0.7789,0.0942,0.2261,0.0778,0.0174,0.0238
low,ecoli,hgb,crcc_p_l05,0.8387,0.0462,0.8232,0.0359,0.7789,0.0942,0.2261,0.0778,0.0174,0.0238
low,ecoli,hgb,crcc_p_l10,0.8387,0.0462,0.8232,0.0359,0.7789,0.0942,0.2261,0.0778,0.0174,0.0238
low,ecoli,hgb,global_top_loss,0.816,0.0638,0.829,0.0491,0.6842,0.1441,0.4348,0.1656,0.3739,0.1134
low,ecoli,hgb,no_cleaning,0.7986,0.0826,0.8133,0.074,0.6526,0.1561,0.0,0.0,0.0,0.0
low,ecoli,hgb,oracle_deletion,0.855,0.0668,0.8576,0.0588,0.7684,0.1212,1.0,0.0,0.0,0.0
low,ecoli,hgb,random_deletion,0.7776,0.0251,0.7989,0.0337,0.6105,0.0471,0.0261,0.0389,0.1304,0.123
low,ecoli,lr,class_proportional,0.8431,0.0307,0.8211,0.0279,0.8,0.0865,0.2783,0.079,0.0,0.0
low,ecoli,lr,crcc_m,0.8369,0.03,0.8106,0.0254,0.8,0.0781,0.1826,0.0943,0.0,0.0
low,ecoli,lr,crcc_p_l0,0.8431,0.0307,0.8211,0.0279,0.8,0.0865,0.2783,0.079,0.0,0.0
