deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,noise_level
62,0.5638095238095238,0.54878300330033,0.17333333333333334,0.11290322580645161,0.12903225806451613,credit-g,hgb,13,random_deletion,low
62,0.5647619047619048,0.5420869898028924,0.14666666666666667,0.41935483870967744,0.5161290322580645,credit-g,hgb,13,global_top_loss,low
62,0.5761904761904761,0.5765104460756635,0.26666666666666666,0.16129032258064516,0.08064516129032258,credit-g,hgb,13,class_proportional,low
45,0.5914285714285714,0.5838947451850678,0.2,1.0,0.0,credit-g,hgb,13,oracle_deletion,low
62,0.5761904761904761,0.5765104460756635,0.26666666666666666,0.16129032258064516,0.08064516129032258,credit-g,hgb,13,crcc_p_l0,low
62,0.5761904761904761,0.5765104460756635,0.26666666666666666,0.16129032258064516,0.08064516129032258,credit-g,hgb,13,crcc_p_l025,low
62,0.5761904761904761,0.5765104460756635,0.26666666666666666,0.16129032258064516,0.08064516129032258,credit-g,hgb,13,crcc_p_l05,low
62,0.5761904761904761,0.5765104460756635,0.26666666666666666,0.16129032258064516,0.08064516129032258,credit-g,hgb,13,crcc_p_l10,low
62,0.5904761904761905,0.592074592074592,0.26666666666666666,0.0967741935483871,0.04838709677419355,credit-g,hgb,13,crcc_m,low
0,0.5561904761904762,0.5337809036658142,0.14666666666666667,0.0,0.0,credit-g,hgb,29,no_cleaning,low
62,0.5514285714285714,0.5199131669032312,0.12,0.03225806451612903,0.0967741935483871,credit-g,hgb,29,random_deletion,low
62,0.5285714285714286,0.482636428065202,0.08,0.22580645161290322,0.7096774193548387,credit-g,hgb,29,global_top_loss,low
62,0.5733333333333334,0.5690068001149315,0.22666666666666666,0.16129032258064516,0.04838709677419355,credit-g,hgb,29,class_proportional,low
27,0.5961904761904762,0.5938673977053508,0.22666666666666666,1.0,0.0,credit-g,hgb,29,oracle_deletion,low
62,0.5733333333333334,0.5690068001149315,0.22666666666666666,0.16129032258064516,0.04838709677419355,credit-g,hgb,29,crcc_p_l0,low
62,0.5733333333333334,0.5690068001149315,0.22666666666666666,0.16129032258064516,0.04838709677419355,credit-g,hgb,29,crcc_p_l025,low
62,0.5733333333333334,0.5690068001149315,0.22666666666666666,0.16129032258064516,0.04838709677419355,credit-g,hgb,29,crcc_p_l05,low
62,0.5733333333333334,0.5690068001149315,0.22666666666666666,0.16129032258064516,0.04838709677419355,credit-g,hgb,29,crcc_p_l10,low
62,0.5857142857142856,0.5840867992766727,0.24,0.12903225806451613,0.0,credit-g,hgb,29,crcc_m,low
0,0.5933333333333333,0.590669790171037,0.22666666666666666,0.0,0.0,credit-g,hgb,47,no_cleaning,low
62,0.6066666666666667,0.6091714434601354,0.25333333333333335,0.04838709677419355,0.0967741935483871,credit-g,hgb,47,random_deletion,low
62,0.5542857142857143,0.5225255589259634,0.12,0.2903225806451613,0.6935483870967742,credit-g,hgb,47,global_top_loss,low
62,0.6285714285714286,0.6381578947368421,0.36,0.0967741935483871,0.0967741935483871,credit-g,hgb,47,class_proportional,low
31,0.6352380952380952,0.6463932107496464,0.29333333333333333,1.0,0.0,credit-g,hgb,47,oracle_deletion,low
62,0.6285714285714286,0.6381578947368421,0.36,0.0967741935483871,0.0967741935483871,credit-g,hgb,47,crcc_p_l0,low
62,0.6285714285714286,0.6381578947368421,0.36,0.0967741935483871,0.0967741935483871,credit-g,hgb,47,crcc_p_l025,low
62,0.6285714285714286,0.6381578947368421,0.36,0.0967741935483871,0.0967741935483871,credit-g,hgb,47,crcc_p_l05,low
62,0.6285714285714286,0.6381578947368421,0.36,0.0967741935483871,0.0967741935483871,credit-g,hgb,47,crcc_p_l10,low
62,0.6685714285714286,0.6816908581614465,0.44,0.06451612903225806,0.03225806451612903,credit-g,hgb,47,crcc_m,low
0,0.6047619047619047,0.603638726445744,0.22666666666666666,0.0,0.0,credit-g,hgb,61,no_cleaning,low
62,0.5980952380952381,0.5938580861544911,0.21333333333333335,0.06451612903225806,0.08064516129032258,credit-g,hgb,61,random_deletion,low
62,0.5504761904761905,0.513507326007326,0.10666666666666667,0.24193548387096775,0.7419354838709677,credit-g,hgb,61,global_top_loss,low
62,0.64,0.6520294540229885,0.36,0.14516129032258066,0.06451612903225806,credit-g,hgb,61,class_proportional,low
31,0.6009523809523809,0.5971044358141133,0.21333333333333335,1.0,0.0,credit-g,hgb,61,oracle_deletion,low
62,0.64,0.6520294540229885,0.36,0.14516129032258066,0.06451612903225806,credit-g,hgb,61,crcc_p_l0,low
62,0.64,0.6520294540229885,0.36,0.14516129032258066,0.06451612903225806,credit-g,hgb,61,crcc_p_l025,low
62,0.64,0.6520294540229885,0.36,0.14516129032258066,0.06451612903225806,credit-g,hgb,61,crcc_p_l05,low
62,0.64,0.6520294540229885,0.36,0.14516129032258066,0.06451612903225806,credit-g,hgb,61,crcc_p_l10,low
62,0.6428571428571428,0.655561829474873,0.36,0.12903225806451613,0.0,credit-g,hgb,61,crcc_m,low
0,0.580952380952381,0.575,0.21333333333333335,0.0,0.0,credit-g,hgb,83,no_cleaning,low
62,0.5819047619047619,0.578146780465139,0.22666666666666666,0.04838709677419355,0.12903225806451613,credit-g,hgb,83,random_deletion,low
62,0.5638095238095238,0.54878300330033,0.17333333333333334,0.3387096774193548,0.6129032258064516,credit-g,hgb,83,global_top_loss,low
62,0.6076190476190476,0.6139327385037748,0.3466666666666667,0.14516129032258066,0.08064516129032258,credit-g,hgb,83,class_proportional,low
34,0.5666666666666667,0.5599758890898132,0.21333333333333335,1.0,0.0,credit-g,hgb,83,oracle_deletion,low
62,0.6076190476190476,0.6139327385037748,0.3466666666666667,0.14516129032258066,0.08064516129032258,credit-g,hgb,83,crcc_p_l0,low
62,0.6076190476190476,0.6139327385037748,0.3466666666666667,0.14516129032258066,0.08064516129032258,credit-g,hgb,83,crcc_p_l025,low
62,0.6076190476190476,0.6139327385037748,0.3466666666666667,0.14516129032258066,0.08064516129032258,credit-g,hgb,83,crcc_p_l05,low
62,0.6076190476190476,0.6139327385037748,0.3466666666666667,0.14516129032258066,0.08064516129032258,credit-g,hgb,83,crcc_p_l10,low
62,0.5980952380952381,0.6032086479066575,0.3333333333333333,0.0967741935483871,0.03225806451612903,credit-g,hgb,83,crcc_m,low
0,0.6132734003172924,0.6435328898743533,0.2459016393442623,0.0,0.0,yeast,lr,13,no_cleaning,low
109,0.6378635642517186,0.6744739905094458,0.29508196721311475,0.03669724770642202,0.07339449541284404,yeast,lr,13,random_deletion,low
109,0.687043892120571,0.7307101500649889,0.39344262295081966,0.42201834862385323,0.5321100917431193,yeast,lr,13,global_top_loss,low
109,0.7664463246959281,0.7480770892749113,0.639344262295082,0.1834862385321101,0.07339449541284404,yeast,lr,13,class_proportional,low
66,0.6788471708090957,0.721813224267212,0.3770491803278688,1.0,0.0,yeast,lr,13,oracle_deletion,low
109,0.7664463246959281,0.7480770892749113,0.639344262295082,0.1834862385321101,0.07339449541284404,yeast,lr,13,crcc_p_l0,low
109,0.7664463246959281,0.7480770892749113,0.639344262295082,0.1834862385321101,0.07339449541284404,yeast,lr,13,crcc_p_l025,low
109,0.7664463246959281,0.7480770892749113,0.639344262295082,0.1834862385321101,0.07339449541284404,yeast,lr,13,crcc_p_l05,low
109,0.7664463246959281,0.7480770892749113,0.639344262295082,0.1834862385321101,0.07339449541284404,yeast,lr,13,crcc_p_l10,low
109,0.7664463246959281,0.7480770892749113,0.639344262295082,0.13761467889908258,0.01834862385321101,yeast,lr,13,crcc_m,low
0,0.6033315705975674,0.6335150940414098,0.21311475409836064,0.0,0.0,yeast,lr,29,no_cleaning,low
109,0.6345055526176626,0.6743243495638855,0.2786885245901639,0.045871559633027525,0.11009174311926606,yeast,lr,29,random_deletion,low
109,0.700079323109466,0.7510367018256277,0.4098360655737705,0.44036697247706424,0.5321100917431193,yeast,lr,29,global_top_loss,low
109,0.7759915388683236,0.7778177027188885,0.6229508196721312,0.22935779816513763,0.03669724770642202,yeast,lr,29,class_proportional,low
74,0.690269698572184,0.7382693532013008,0.39344262295081966,1.0,0.0,yeast,lr,29,oracle_deletion,low
109,0.7759915388683236,0.7778177027188885,0.6229508196721312,0.22935779816513763,0.03669724770642202,yeast,lr,29,crcc_p_l0,low
109,0.7759915388683236,0.7778177027188885,0.6229508196721312,0.22935779816513763,0.03669724770642202,yeast,lr,29,crcc_p_l025,low
109,0.7759915388683236,0.7778177027188885,0.6229508196721312,0.22935779816513763,0.03669724770642202,yeast,lr,29,crcc_p_l05,low
109,0.7759915388683236,0.7778177027188885,0.6229508196721312,0.22935779816513763,0.03669724770642202,yeast,lr,29,crcc_p_l10,low
