deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,lamda,budget,target_ratio
0,0.7570333157059757,0.8140161725067385,0.7131475442901805,0.8273124916807394,0.6721311475409836,0.45555555555555555,0.8419354838709677,0.556492134740831,,,0,109,,yeast,lr,13,hidden_minority_medium,20,0.1,0.15
0,0.7569011105235325,0.8247978436657682,0.721423207993993,0.8353182711898869,0.6557377049180327,0.47619047619047616,0.8580645161290322,0.5530593307904195,,,0,109,,yeast,lr,13,hidden_minority_medium,30,0.1,0.15
0,0.7633527234267583,0.8355795148247979,0.7329391911825445,0.8440584980822015,0.6557377049180327,0.5,0.8709677419354839,0.5572826821697705,,,0,109,,yeast,lr,13,hidden_minority_medium,50,0.1,0.15
0,0.7601269169751455,0.8301886792452831,0.7271326336434851,0.8396806834454487,0.6557377049180327,0.4878048780487805,0.864516129032258,0.5577508040638521,,,0,109,,yeast,lr,13,hidden_minority_medium,100,0.1,0.15
0,0.8056848228450555,0.8733153638814016,0.7847204217440151,0.8774100880978355,0.7049180327868853,0.5972222222222222,0.9064516129032258,0.6228304962645247,,,0,109,,yeast,lr,17,hidden_minority_medium,10,0.1,0.15
0,0.794130089899524,0.876010781671159,0.7828532166123778,0.8783109684627339,0.6721311475409836,0.6119402985074627,0.9161290322580645,0.623059760042342,,,0,109,,yeast,lr,17,hidden_minority_medium,20,0.1,0.15
0,0.7989687995769434,0.8840970350404312,0.7931539708265802,0.8852060967991368,0.6721311475409836,0.640625,0.9258064516129032,0.6198006219931466,,,0,109,,yeast,lr,17,hidden_minority_medium,30,0.1,0.15
0,0.7939978847170809,0.8867924528301887,0.7939978847170809,0.8867924528301887,0.6557377049180327,0.6557377049180327,0.932258064516129,0.6217055074906308,,,0,109,,yeast,lr,17,hidden_minority_medium,50,0.1,0.15
0,0.7907720782654679,0.8814016172506739,0.7869819396596722,0.8821661490530301,0.6557377049180327,0.6349206349206349,0.9258064516129032,0.6185930027685597,,,0,109,,yeast,lr,17,hidden_minority_medium,100,0.1,0.15
0,0.7202273929138022,0.862533692722372,0.7337957426453001,0.8580428339987533,0.5081967213114754,0.5961538461538461,0.932258064516129,0.5777165593854419,,,0,109,,yeast,lr,23,hidden_minority_medium,10,0.1,0.15
