deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method,noise_level,mn_to_maj,maj_to_min
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,61,no_cleaning,high,0.4,0.2
44,0.6121791044776119,0.6128493950771798,0.3283582089552239,0.38636363636363635,0.022727272727272728,0,0,,pima,lr,61,class_proportional,high,0.4,0.2
0,0.6686567164179105,0.671875,0.5373134328358209,,,44,0,0.22727272727272727,pima,lr,61,balanced_oof_relabel,high,0.4,0.2
0,0.5442388059701493,0.4914559125085441,0.1044776119402985,,,44,0,0.18181818181818182,pima,lr,61,random_relabel,high,0.4,0.2
0,0.5626268656716418,0.5263157894736843,0.14925373134328357,,,0,0,,pima,lr,67,no_cleaning,low,0.1,0.05
44,0.6833432835820896,0.6942269409422694,0.4626865671641791,0.18181818181818182,0.045454545454545456,0,0,,pima,lr,67,class_proportional,low,0.1,0.05
0,0.6857313432835821,0.6941506308143239,0.5074626865671642,,,44,0,0.06818181818181818,pima,lr,67,balanced_oof_relabel,low,0.1,0.05
0,0.6108656716417911,0.6019656019656019,0.2537313432835821,,,44,0,0.0,pima,lr,67,random_relabel,low,0.1,0.05
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,0,0,,pima,lr,67,no_cleaning,medium,0.3,0.1
44,0.652955223880597,0.6605170975813177,0.417910447761194,0.36363636363636365,0.022727272727272728,0,0,,pima,lr,67,class_proportional,medium,0.3,0.1
0,0.6886567164179105,0.6949817774039809,0.5373134328358209,,,44,0,0.20454545454545456,pima,lr,67,balanced_oof_relabel,medium,0.3,0.1
0,0.566089552238806,0.5348085931190438,0.16417910447761194,,,44,0,0.022727272727272728,pima,lr,67,random_relabel,medium,0.3,0.1
0,0.5109253731343284,0.4234758871701547,0.029850746268656716,,,0,0,,pima,lr,67,no_cleaning,high,0.4,0.2
44,0.5652537313432835,0.5619967793880838,0.29850746268656714,0.4090909090909091,0.06818181818181818,0,0,,pima,lr,67,class_proportional,high,0.4,0.2
0,0.5937313432835821,0.5909289904561772,0.5074626865671642,,,44,0,0.20454545454545456,pima,lr,67,balanced_oof_relabel,high,0.4,0.2
0,0.5327761194029851,0.4750512645249487,0.08955223880597014,,,44,0,0.06818181818181818,pima,lr,67,random_relabel,high,0.4,0.2
0,0.5895522388059702,0.5617347997509857,0.1791044776119403,,,0,0,,pima,lr,71,no_cleaning,low,0.1,0.05
44,0.755044776119403,0.7703572005818652,0.582089552238806,0.25,0.0,0,0,,pima,lr,71,class_proportional,low,0.1,0.05
0,0.7494328358208955,0.7568494208494209,0.6268656716417911,,,44,0,0.06818181818181818,pima,lr,71,balanced_oof_relabel,low,0.1,0.05
0,0.5895522388059702,0.5617347997509857,0.1791044776119403,,,44,0,0.0,pima,lr,71,random_relabel,low,0.1,0.05
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,71,no_cleaning,medium,0.3,0.1
44,0.6734925373134328,0.6842878634153169,0.40298507462686567,0.3409090909090909,0.045454545454545456,0,0,,pima,lr,71,class_proportional,medium,0.3,0.1
0,0.743044776119403,0.7553205046514592,0.582089552238806,,,44,0,0.22727272727272727,pima,lr,71,balanced_oof_relabel,medium,0.3,0.1
0,0.5522388059701493,0.4978204010462075,0.1044776119402985,,,44,0,0.045454545454545456,pima,lr,71,random_relabel,medium,0.3,0.1
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,71,no_cleaning,high,0.4,0.2
44,0.7022686567164179,0.7148797148797149,0.4925373134328358,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,71,class_proportional,high,0.4,0.2
0,0.7288955223880597,0.7296827726687236,0.6417910447761194,,,44,0,0.25,pima,lr,71,balanced_oof_relabel,high,0.4,0.2
0,0.566089552238806,0.5348085931190438,0.16417910447761194,,,44,0,0.09090909090909091,pima,lr,71,random_relabel,high,0.4,0.2
0,0.6034029850746269,0.5913154533844189,0.23880597014925373,,,0,0,,pima,lr,73,no_cleaning,low,0.1,0.05
44,0.7102686567164179,0.7245704753961635,0.4925373134328358,0.25,0.06818181818181818,0,0,,pima,lr,73,class_proportional,low,0.1,0.05
0,0.7315820895522388,0.7430865298840321,0.5671641791044776,,,44,0,0.11363636363636363,pima,lr,73,balanced_oof_relabel,low,0.1,0.05
0,0.647641791044776,0.6527777777777778,0.34328358208955223,,,44,0,0.0,pima,lr,73,random_relabel,low,0.1,0.05
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,73,no_cleaning,medium,0.3,0.1
44,0.640179104477612,0.6433436532507739,0.3283582089552239,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,73,class_proportional,medium,0.3,0.1
0,0.6891940298507462,0.696969696969697,0.5223880597014925,,,44,0,0.3181818181818182,pima,lr,73,balanced_oof_relabel,medium,0.3,0.1
0,0.5327761194029851,0.4750512645249487,0.08955223880597014,,,44,0,0.06818181818181818,pima,lr,73,random_relabel,medium,0.3,0.1
